,TK_PLCS/FPIX/crate02/module06/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module06/channel_read_08.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate02/module07/channel_read_08.value.converted:_original.._value,
,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,Passive Box #1 Pt1k on Detector,
"2017/12/12 10:34:45.873",,,,,0.12,,,,,,,,,,,,
"2017/12/12 10:35:38.375",,,,0.93,,,,,,,,,,,,,
"2017/12/12 10:37:20.869",,,,,,,,,,,,,,,,0.71,
"2017/12/12 10:38:38.372",,,,,,,,,,,,,,0.17,,,
"2017/12/12 10:38:45.880",0.44,,,,,,,,,,,,,,,,
"2017/12/12 10:41:00.884",,,,,,,,,,,,,,,0.73,,
"2017/12/13 16:09:39.799",,1.17,0.49,,0.15,,,,,,,,,,,0.73,
"2017/12/13 16:11:14.787",,,,,,,,,1.02,,,,,,,,
"2017/12/13 16:13:32.288",,,,,,0.78,,,,,,,,,,,
"2017/12/13 16:31:52.285",,,,,,,,0.88,,,,,,,,,
"2017/12/13 17:07:29.789",,,,,,,,,,,,,0.88,,,,
"2017/12/13 17:37:57.287",,,,,,,,,,,0.27,,,,,,
"2017/12/14 17:22:25.352",0,,,,,,,,,,,,,,,,
"2017/12/14 17:22:27.286",0.46,1.2,,,,,,,,,,,,,,,
"2017/12/14 17:22:29.184",,,0,,,,,,,,,,,,,,
"2017/12/14 17:22:31.038",,,,0,,,,,,,,,,,,,
"2017/12/14 17:22:32.703",,,,0.9,,,,,,,,,,,,,
"2017/12/14 17:22:32.932",,,,,0,,,,,,,,,,,,
"2017/12/14 17:22:34.848",,,,,,0.81,,,,,,,,,,,
"2017/12/14 17:22:35.794",,,,,,,0,,,,,,,,,,
"2017/12/14 17:22:36.735",,,,,,,,0,,,,,,,,,
"2017/12/14 17:22:37.288",,,,,,,0.73,0.85,,,,,,,,,
"2017/12/14 17:22:37.706",,,,,,,,,0,,,,,,,,
"2017/12/14 17:22:38.663",,,,,,,,,,0,,,,,,,
"2017/12/14 17:22:39.616",,,,,,,,,,,0,,,,,,
"2017/12/14 17:22:39.835",,,,,,,,,1.05,0.61,0.24,,,,,,
"2017/12/14 17:22:40.582",,,,,,,,,,,,0,,,,,
"2017/12/15 06:19:27.289",,,,,,,,,,,,,0.85,,,,
"2017/12/15 07:14:07.298",,,,,,,,,,,0.24,,,,,,
"2017/12/15 08:50:24.780",,,,,,,,0.85,,,,,,,,,
"2017/12/15 10:15:24.803",,,,,,,,,,,,,,,0.76,,
"2017/12/15 10:16:02.300",,,,,,,,,,,,,,0.2,,,
"2017/12/15 10:16:04.803",0.44,,0.46,,,,,,,,,,,,,,
"2017/12/15 10:16:07.313",,1.17,,,0.17,,,,,,,,,,,,
"2017/12/15 10:34:46.281",,,,,,0.78,,,,,,,,0.17,,,
"2017/12/15 10:34:48.771",0.46,,,,,,,,,,,,,,,,
"2017/12/15 10:34:51.271",,,,,,,,,1.02,,,,,,,,
"2017/12/15 10:35:13.772",,,,,,,,,,,,,,,0.73,,
"2017/12/15 11:09:28.776",,,,,,,,0.88,,,,,,,,,
"2017/12/15 14:41:26.275",,,,,,,,,,,,,0.88,,,,
"2017/12/15 15:06:21.289",,,,,,,,,,,0.27,,,,,,
"2017/12/15 15:28:41.298",,,,,,,,,,0.63,,,,,,,
