,TK_PLCS/FPIX/crate03/module04/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_03.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module04/channel_read_08.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module05/channel_read_08.value.converted:_original.._value,
,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,Passive Box #2 Pt1k on Detector,
"2018/01/08 18:57:55.796",,,,,,,,-0.39,,,,,,
"2018/01/08 19:01:48.280",0.12,,,,,,,,,,,,,
"2018/01/08 19:02:13.277",,,,,,,,,,0.57,,,,
"2018/01/08 19:02:18.282",,,,,,,0.03,,,,,,,
"2018/01/08 19:02:58.285",,,,,,,,,,,,,0.54,
"2018/01/08 19:03:05.783",,,,,,,,,,,,0.85,,
"2018/01/08 19:03:28.288",,1.85,,,,,,,,,,,,
"2018/01/08 19:03:43.279",,,,0.51,,,,,,,,,,
"2018/01/08 19:03:45.778",,,,,,,,,,,1.98,,,
"2018/01/08 19:03:53.286",,,,,,,,,1.78,,,,,
"2018/01/08 19:03:55.785",,,,,,0.66,,,,,,,,
"2018/01/08 19:03:58.279",,,,,0.56,,,,,,,,,
"2018/01/09 08:54:51.613",,,,,,,,-0.41,1.8,,,,,
"2018/01/09 08:54:54.089",,,,,0.54,0.63,,,,,,0.83,0.52,
"2018/01/09 08:54:56.585",,,0.59,,,,,,,,,,,
"2018/01/09 08:55:11.605",,,,,,,,,,,1.95,,,
"2018/01/09 08:55:16.598",,,,0.49,,,,,,,,,,
"2018/01/09 08:55:44.093",0.15,,,,,,,,,,,,,
"2018/01/09 08:57:01.609",,,,,,,,,,0.59,,,,
"2018/01/09 08:57:24.087",,1.83,,,,,,,,,,,,
"2018/01/09 09:11:59.085",,,,,,,0,,,,,,,
"2018/01/17 14:59:56.585",,,,,,,,0.17,,,,,,
"2018/01/17 15:02:56.584",,,,,,,,-0.36,,,,,,
"2018/01/17 15:07:29.092",327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,
"2018/01/18 10:21:09.086",21.36,21.22,21.14,21.17,21.24,21.22,21.44,21.49,21.65,21.58,21.3,21.12,21.43,
"2018/01/18 12:14:49.083",20.85,,,,,,,,,,,,,
"2018/01/18 23:46:59.099",,,,,,20.78,,,,,,,,
"2018/01/18 23:47:29.085",,,,20.73,,,,,,,,,,
"2018/01/18 23:47:56.595",,,20.73,,,,,,,,,,,
"2018/01/18 23:48:04.096",,,,,,,,,21.26,,,,,
"2018/01/18 23:48:16.594",,,,,,,,21.1,,,,,,
"2018/01/18 23:48:29.096",,,,,,,,,,,,21.1,,
"2018/01/18 23:48:54.093",,,,,,,21.07,,,,,,,
"2018/01/18 23:48:56.601",,20.8,,,,,,,,21.12,21.21,,,
"2018/01/18 23:48:59.102",,,,,20.85,,,,,,,,21.32,
"2018/01/19 08:20:48.389",21.41,21.34,21.24,21.24,21.31,21.24,21.58,21.61,21.85,21.72,21.85,21.72,21.96,
"2018/01/19 12:18:55.876",,,,,,,22.09,,,,,,,
"2018/01/19 12:20:40.874",,,21.75,,,,,,,,,,,
"2018/01/19 12:22:13.365",,,,,21.83,,,,,,,,,
"2018/01/19 12:22:23.370",,,,,,21.75,,,,,,,,
"2018/01/19 12:22:43.366",,,,,,,,22.12,,,,,,
"2018/01/19 12:27:10.876",,,,21.75,,,,,,,,,,
"2018/01/19 12:32:48.438",,21.85,,,,,,,,,,,,
"2018/01/19 12:37:33.376",21.92,,,,,,,,,,,,,
"2018/01/19 12:43:23.370",,,,,,,,,,22.24,,,,
"2018/01/19 12:44:35.867",,,,,,,,,22.37,,,,,
"2018/01/19 12:48:20.871",,,,,,,,,,,,22.24,22.48,
"2018/01/19 13:01:28.386",,,,,,,,,,,22.37,,,
"2018/01/19 19:16:50.862",,,,,,,,,21.85,,,,,
"2018/01/19 19:17:15.875",21.41,,,,,,,,,,,,,
"2018/01/19 19:17:53.361",,,,,,,,,,,,,21.96,
"2018/01/19 19:18:00.872",,,,,,,,,,,21.85,,,
"2018/01/19 19:18:03.360",,21.34,,,,,,,,,,,,
"2018/01/19 19:18:10.863",,,,,,,,,,21.72,,,,
"2018/01/19 19:18:40.873",,,21.24,,,,,,,,,21.72,,
"2018/01/19 19:19:45.869",,,,,,,21.58,,,,,,,
"2018/01/19 19:19:58.377",,,,,,,,,21.34,,,,,
"2018/01/19 19:20:23.360",20.9,,,,,,,,,,,,,
"2018/01/19 19:21:03.371",,,,,21.31,,,,,,,,,
"2018/01/19 19:21:23.369",,20.83,,,,,,,,,,,,
"2018/01/19 19:21:45.876",,,,,,,,,,,,,21.45,
"2018/01/19 19:21:50.866",,,,,,,,,,21.21,,,,
"2018/01/19 19:21:58.371",,,,,,,,,,,21.34,,,
"2018/01/19 19:23:05.869",,,,,,,,,,,,21.21,,
"2018/01/19 19:23:38.383",,,20.73,,,,,,,,,,,
"2018/01/19 19:24:00.869",20.38,,,,,,,,,,,,,
"2018/01/19 19:24:08.380",,,,21.24,,,,,,,,,,
"2018/01/19 19:24:18.456",,,,,,,,,20.82,,,,,
"2018/01/19 19:24:50.866",,,,,,,21.07,,,,,,,
"2018/01/19 19:25:25.872",,20.31,,,,,,,,,,,,
"2018/01/19 19:25:33.373",,,,,,,,21.61,,,,,,
"2018/01/19 19:26:25.870",,,,,,,,,,20.69,,,,
"2018/01/19 19:26:28.379",,,,,,,,,,,,,20.93,
"2018/01/19 19:26:30.869",,,,,,21.24,,,,,,,,
"2018/01/19 19:26:38.369",,,,,,,,,,,20.82,,,
"2018/01/19 19:27:30.871",,,,,20.8,,,,,,,,,
"2018/01/19 19:28:40.875",,,,,,,,,,,,20.69,,
"2018/01/19 19:28:50.865",19.87,,,,,,,,,,,,,
"2018/01/19 19:30:10.873",,,,,,,,,20.29,,,,,
"2018/01/19 19:30:35.865",,19.79,,,,,,,,,,,,
"2018/01/19 19:30:53.371",,,,20.73,,,,,,,,,,
"2018/01/19 19:31:28.376",,,20.21,,,,,,,,,,,
"2018/01/19 19:32:30.876",,,,,,,,21.1,,,,,,
"2018/01/19 19:32:35.869",,,,,,,,,,20.18,,,,
"2018/01/19 19:32:43.371",,,,,,,20.56,,,,,,,
"2018/01/19 19:33:10.865",,,,,,,,,,,,,20.42,
"2018/01/19 19:33:18.445",,,,,,,,,,,20.29,,,
"2018/01/19 19:33:50.873",,,,,,20.73,,,,,,,,
"2018/01/19 19:36:30.860",,,,,20.29,,,,,,,,,
"2018/01/19 19:36:33.368",19.35,,,,,,,,,,,20.18,,
"2018/01/19 19:38:55.873",,,,,,,,,19.77,,,,,
"2018/01/19 19:39:00.873",,19.28,,,,,,,,,,,,
"2018/01/19 19:39:35.865",,,,20.21,,,,,,,,,,
"2018/01/19 19:41:28.381",,,,,,,,20.58,,,,,,
"2018/01/19 19:41:33.370",,,,,,,,,,19.66,,,,
"2018/01/19 19:43:00.863",,,,,,,,,,,19.77,,,
"2018/01/19 19:43:18.463",,,,,,20.21,,,,,,,19.9,
"2018/01/19 19:44:08.382",,,19.7,,,,,,,,,,,
"2018/01/19 19:45:18.438",,,,,,,20.04,,,,,,,
