,TK_PLCS/FPIX/crate03/module06/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module06/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module06/channel_read_06.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module06/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module06/channel_read_08.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module07/channel_read_01.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module07/channel_read_02.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module07/channel_read_04.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module07/channel_read_05.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module07/channel_read_07.value.converted:_original.._value,TK_PLCS/FPIX/crate03/module07/channel_read_08.value.converted:_original.._value,
,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,Passive Box #3 Pt1k on Detector,
"2018/01/10 20:03:34.093",,0.9,,,,,,,,,,
"2018/01/11 11:33:16.580",,1.41,,,,,,,,,,
"2018/01/11 11:42:14.092",,1.93,,,,,,,,,,
"2018/01/11 11:45:29.091",,2.44,,,,,,,,,,
"2018/01/11 11:51:01.665",,2.95,,,,,,,,,,
"2018/01/11 16:32:54.096",,2.44,,,,,,,,,,
"2018/01/11 18:38:46.592",,2.95,,,,,,,,,,
"2018/01/11 18:44:29.082",,3.48,,,,,,,,,,
"2018/01/11 20:16:19.087",,2.97,,,,,,,,,,
"2018/01/11 20:54:29.094",,2.46,,,,,,,,,,
"2018/01/12 00:55:39.089",,1.95,,,,,,,,,,
"2018/01/12 01:06:16.596",,2.46,,,,,,,,,,
"2018/01/12 01:10:29.091",,2.97,,,,,,,,,,
"2018/01/12 01:13:59.095",,3.48,,,,,,,,,,
"2018/01/12 02:26:21.688",,2.97,,,,,,,,,,
"2018/01/12 12:59:06.593",,3.48,,,,,,,,,,
"2018/01/12 13:00:41.605",,3.99,,,,,,,,,,
"2018/01/12 13:05:19.095",,3.48,,,,,,,,,,
"2018/01/12 13:09:36.583",,2.97,,,,,,,,,,
"2018/01/12 13:17:31.596",,2.46,,,,,,,,,,
"2018/01/12 13:31:34.098",,1.95,,,,,,,,,,
"2018/01/13 16:33:49.093",,1.44,,,,,,,,,,
"2018/01/13 16:38:34.090",,0.93,,,,,,,,,,
"2018/01/15 20:41:44.089",,0.42,,,,,,,,,,
"2018/01/16 14:28:46.600",,0.93,,,,,,,,,,
"2018/01/16 18:25:44.092",,,,,,,,2.99,,,,
"2018/01/16 19:01:06.588",,1.44,,,,,,,,,,
"2018/01/17 10:10:59.082",,,,,,,,3.5,,,,
"2018/01/17 15:32:46.595",327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,327.67,
"2018/01/17 15:37:04.093",22.31,23.15,22.07,22.41,22.27,23.27,23.32,23.93,23.29,23.56,23.1,
"2018/01/17 15:46:24.090",,,,,,23.78,,,,,,
"2018/01/17 15:47:51.670",,,22.58,,,,,,,,,
"2018/01/17 15:47:54.089",,,,,,,23.83,,,,,
"2018/01/17 15:48:04.084",22.83,,,,,,,,,,,
"2018/01/17 15:49:46.594",,,,,22.78,,,,,,,
"2018/01/17 15:50:01.602",,23.66,,,,,,,,,,
"2018/01/17 15:53:31.657",,,,22.92,,,,,,,,
"2018/01/17 16:00:09.096",,,,,,24.3,,,,,,
"2018/01/17 16:00:24.082",,,,,,,24.35,,,,,
"2018/01/17 16:04:19.094",,,23.1,,,,,,,,,
"2018/01/17 16:06:54.094",23.34,,,,,,,,,,,
"2018/01/17 16:09:11.597",,,,,23.29,,,,,,,
"2018/01/17 16:11:11.593",,24.18,,,,,,,,,,
"2018/01/17 16:19:34.080",,,,23.44,,,,,,,,
"2018/01/17 16:21:09.091",,,,,,,23.83,,,,,
"2018/01/17 16:27:09.093",,,,,,23.78,,,,,,
"2018/01/17 17:00:19.082",,,,,,,23.32,,,,,
"2018/01/17 17:31:11.607",,,,,,23.27,,,,,,
"2018/01/17 17:51:06.583",,,,,,,,,22.78,,,
"2018/01/17 18:01:44.093",,,,,,,,,,,22.58,
"2018/01/17 18:03:16.585",,,,,,,22.8,,,,,
"2018/01/17 18:13:14.095",,,,,,,,,,23.05,,
"2018/01/17 18:17:31.599",22.83,,,,,,,,,,,
"2018/01/17 18:17:54.087",,,,,,22.75,,,,,,
"2018/01/17 18:19:59.098",,,,22.92,,,,,,,,
"2018/01/17 18:20:59.100",,23.66,,,,,,,,,,
"2018/01/17 18:57:39.101",,,,,22.78,,,,,,,
"2018/01/17 19:22:49.093",,,22.58,,,,,,,,,
"2018/01/17 20:20:14.082",,,,,,,,,22.27,,,
"2018/01/17 20:35:41.602",,,,,,,22.29,,,,,
"2018/01/17 20:39:54.094",,,,,,,,23.42,,,,
"2018/01/17 20:43:24.092",,,,,,,,,,,22.07,
"2018/01/17 20:48:19.086",22.31,,,,,,,,,,,
"2018/01/17 20:48:26.593",,23.15,,,,,,,,,,
"2018/01/17 20:56:16.589",,,,22.41,,,,,,,,
"2018/01/18 02:15:11.611",,,,,,22.24,,,,,,
"2018/01/18 03:03:36.599",,,,,,,,,,22.53,,
"2018/01/18 03:24:04.097",,,,,22.27,,,,,,,
"2018/01/18 03:55:39.094",,,22.07,,,,,,,,,
"2018/01/18 04:45:01.595",,,,,,,,,21.75,,,
"2018/01/18 04:49:19.092",,22.63,,,,,,,,,,
"2018/01/18 05:04:41.600",,,,,,,21.78,,,,,
"2018/01/18 05:11:21.685",21.8,,,,,,,,,,,
"2018/01/18 05:24:46.590",,,,21.9,,,,,,,,
"2018/01/18 05:35:39.089",,,,,,,,22.9,,,,
"2018/01/18 05:45:41.600",,,,,,,,,,,21.56,
"2018/01/18 06:22:04.096",,,,,,21.73,,,,,,
"2018/01/18 07:05:26.597",,,,,,,,,,22.02,,
"2018/01/18 07:06:01.601",,,,,21.75,,,,,,,
"2018/01/18 07:42:04.099",,,21.56,,,,,,,,,
"2018/01/18 08:11:16.586",,,,,,,,,21.24,,,
"2018/01/18 08:26:11.595",,,,,,,21.27,,,,,
"2018/01/18 08:38:41.603",21.29,,,,,,,,,,,
"2018/01/18 08:42:26.604",,,,21.39,,,,,,,,
"2018/01/18 08:47:14.094",,,,,,,,22.39,,,,
"2018/01/18 08:53:26.600",,,,,,,,,,,21.05,
"2018/01/18 09:10:21.680",,22.12,,,,,,,,,,
"2018/01/18 09:17:41.597",,,,,,21.22,,,,,,
"2018/01/18 09:47:56.588",,,,,21.24,,,,,,,
"2018/01/18 09:54:54.089",,,,,,,,,,21.51,,
"2018/01/18 10:28:39.086",,,21.05,,,,,,,,,
"2018/01/18 12:16:16.590",,,,,,21.73,,,,,,
"2018/01/18 12:36:39.083",,,,,,21.22,,,,,,
"2018/01/18 12:40:41.605",,,,,,,,,20.73,,,
"2018/01/18 13:02:31.594",,,,,,,20.75,,,,,
"2018/01/18 13:39:44.095",,,,,,,21.27,,,,,
"2018/01/18 13:49:54.082",,,,,,,21.78,,,,,
"2018/01/18 13:50:29.083",,,,,,21.73,,,,,,
"2018/01/18 14:24:34.088",,,,,,,,,21.24,,,
"2018/01/18 14:34:56.584",,,,,,,,,,22.02,,
"2018/01/18 14:49:39.092",,,,,,,,,,,21.56,
"2018/01/18 14:53:16.585",,,,,,,,22.9,,,,
"2018/01/18 15:04:24.097",,,,,,22.24,,,,,,
"2018/01/18 15:04:46.585",,,,,,,22.29,,,,,
"2018/01/18 15:05:06.587",,,,,,,,,,22.53,,
"2018/01/18 15:05:31.604",,,,,,,,,21.75,,,
"2018/01/18 15:05:39.088",,,,,,22.75,,,,,,
"2018/01/18 15:15:19.093",,,,,,,22.8,,,,,
"2018/01/18 15:17:39.091",,,21.56,,,,,,,,,
"2018/01/18 15:23:06.595",,,,,,23.27,,,,,,
"2018/01/18 15:27:41.589",,,,,,22.75,,,,,,
"2018/01/18 15:30:54.085",,,,,,,22.29,,,,,
"2018/01/18 15:33:44.085",,,,,,22.24,,,,,,
"2018/01/18 15:37:51.677",,,,,,,21.78,,,,,
"2018/01/18 15:38:34.088",,,,,21.75,,,,,,,
"2018/01/18 15:44:36.587",,,,,,21.73,,,,,,
"2018/01/18 16:09:49.091",,,,,,,,,,22.02,,
"2018/01/18 16:33:39.095",,,,,,,,,21.24,,,
"2018/01/18 16:38:24.085",,,,,,,21.27,,,,,
"2018/01/18 17:48:24.087",,,,,,,21.78,,,,,
"2018/01/18 17:51:21.657",,,,,,23.15,,,,,,
"2018/01/18 17:51:24.085",,,,,,24.69,,,,,,
"2018/01/18 17:51:26.592",,,,,,25.57,,,,,,
"2018/01/18 17:51:34.093",,,,,,24.76,,,,,,
"2018/01/18 17:51:41.600",,,,,,24.13,,,,,,
"2018/01/18 17:51:49.095",,,,,,23.51,,,,,,
"2018/01/18 17:51:59.095",,,,,,22.92,,,,,,
"2018/01/18 17:52:29.095",,,,,,22.41,,,,,,
"2018/01/18 17:54:09.097",,,,,,,22.36,,,,,
"2018/01/18 17:56:14.084",,,,,,,21.85,,,,,
"2018/01/18 17:58:44.087",,,,,,21.9,,,,,,
"2018/01/18 18:12:09.093",,,,,,,21.34,,,,,
"2018/01/18 18:16:11.594",,,,,,,,22.39,,,,
"2018/01/18 18:17:44.094",,,,,,21.39,,,,,,
"2018/01/18 18:22:31.602",,,,,,,,,,,21.05,
"2018/01/18 19:18:04.086",,,,,21.24,,,,,,,
"2018/01/18 20:47:11.594",,,21.05,,,,,,,,,
"2018/01/18 21:22:26.584",,,,,,,,,,21.51,,
"2018/01/18 22:08:51.675",,,,,,,20.83,,,,,
"2018/01/18 22:37:41.592",20.78,,,,,,,,,,,
"2018/01/18 22:37:54.087",,,,,,,,,20.73,,,
"2018/01/18 22:47:54.091",,,,20.87,,,,,,,,
"2018/01/18 23:15:29.089",,,,,,20.87,,,,,,
"2018/01/18 23:37:06.601",,,,,,20.85,,,,,,
"2018/01/18 23:42:14.093",,,,,,,,,,21.31,,
"2018/01/18 23:46:21.678",,,,,,,,21.9,,,,
"2018/01/18 23:47:34.091",,,,,,,,,20.63,,,
"2018/01/18 23:48:11.601",,,,20.83,,,,,,,,
"2018/01/18 23:48:24.100",,21.7,20.8,,,,,,,,,
"2018/01/18 23:48:44.097",,,,,20.9,,,,,,,
"2018/01/18 23:48:51.683",,,,,,,,,,,20.6,
"2018/01/18 23:48:54.093",20.7,,,,,,,,,,,
"2018/01/18 23:48:59.102",,,,,,,20.68,,,,,
"2018/01/19 08:20:48.389",21.27,23.61,21.34,21.41,21.46,21.46,21.31,21.95,21.27,21.9,21.19,
"2018/01/19 11:49:23.360",,22.95,,,,,,,,,,
"2018/01/19 12:13:48.452",,,21.85,,,,,,,,,
"2018/01/19 12:15:28.443",,,,,21.97,,,,,,,
"2018/01/19 12:19:43.374",21.78,,,,,,,,,,,
"2018/01/19 12:21:15.872",,,,21.92,,,,,,,,
"2018/01/19 12:31:18.448",,,,,,,21.83,,,,,
"2018/01/19 12:31:28.386",,,,,,21.97,,,,,,
"2018/01/19 12:35:13.375",,,,,,,,,,,21.7,
"2018/01/19 12:37:50.861",,,,,,,,,21.78,,,
"2018/01/19 12:43:20.868",,,,,,,,22.46,,,,
"2018/01/19 12:50:15.871",,,,,,,,,,22.41,,
"2018/01/19 15:37:30.865",,23.46,,,,,,,,,,
"2018/01/19 16:08:55.862",,,22.36,,,,,,,,,
"2018/01/19 16:15:35.872",,,,,22.48,,,,,,,
"2018/01/19 16:25:40.868",22.29,,,,,,,,,,,
"2018/01/19 16:28:40.866",,,,22.44,,,,,,,,
"2018/01/19 17:21:58.384",,,,,,,,22.97,,,,
"2018/01/20 00:21:43.366",,,,21.92,,,,,,,,
"2018/01/20 00:25:38.384",21.78,,,,,,,,,,,
"2018/01/20 00:43:40.863",,,,,21.97,,,,,,,
"2018/01/20 01:03:50.868",,,21.85,,,,,,,,,
"2018/01/20 06:56:55.874",,22.95,,,,,,,,,,
"2018/01/20 08:13:28.385",,,,,,,,,21.27,,,
"2018/01/20 08:21:40.861",,,,,,,,,,21.9,,
"2018/01/20 08:24:00.875",,,,,,,21.31,,,,,
"2018/01/20 08:25:40.870",,,,,,21.46,,,,,,
"2018/01/20 08:29:05.872",,,,,,,,,,,21.19,
"2018/01/20 08:44:58.374",,,,,,,,22.46,,,,
"2018/01/20 08:55:43.367",,,,21.41,,,,,,,,
"2018/01/20 09:09:10.864",21.27,,,,,,,,,,,
"2018/01/20 09:11:33.371",,,,,21.46,,,,,,,
"2018/01/20 09:11:50.869",,,21.34,,,,,,,,,
"2018/01/20 09:24:18.447",,22.44,,,,,,,,,,
"2018/01/20 10:54:45.875",,,,,,,,,20.75,,,
"2018/01/20 11:01:03.370",,,,,,,,,,21.39,,
"2018/01/20 11:03:33.378",,,,,,,20.8,,,,,
"2018/01/20 11:05:10.864",,,,,,20.95,,,,,,
"2018/01/20 11:06:33.361",,,,,,,,,,,20.68,
"2018/01/20 11:17:15.862",,,,,,,,21.95,,,,
"2018/01/20 11:34:13.370",,,,20.9,,,,,,,,
"2018/01/20 11:45:05.870",,,,,20.95,,,,,,,
"2018/01/20 11:47:33.366",20.75,,,,,,,,,,,
"2018/01/20 11:49:45.870",,,20.83,,,,,,,,,
"2018/01/20 12:00:30.859",,21.92,,,,,,,,,,
"2018/01/20 14:57:50.872",,,,,,,,,20.24,,,
"2018/01/20 15:02:18.461",,,,,,,,,,20.87,,
"2018/01/20 15:05:00.874",,,,,,,20.29,,,,,
"2018/01/20 15:07:10.861",,,,,,20.43,,,,,,
"2018/01/20 15:11:50.869",,,,,,,,,,,20.16,
"2018/01/20 15:23:08.370",,,,,,,,21.44,,,,
"2018/01/20 15:31:58.368",,,,20.38,,,,,,,,
"2018/01/20 15:45:25.869",,,,,20.43,,,,,,,
"2018/01/20 15:51:33.370",20.24,,,,,,,,,,,
"2018/01/20 15:56:58.372",,,20.31,,,,,,,,,
"2018/01/20 16:19:03.375",,21.41,,,,,,,,,,
"2018/01/20 18:38:48.451",,,,,,,,,19.72,,,
"2018/01/20 18:40:35.865",,,,,,,,,,20.36,,
"2018/01/20 18:52:25.873",,,,,,,19.77,,,,,
"2018/01/20 18:55:35.876",,,,,,19.92,,,,,,
"2018/01/20 19:02:28.377",,,,,,,,,,,19.65,
"2018/01/20 19:26:03.371",,,,19.87,,,,,,,,
"2018/01/20 19:33:05.864",,,,,,,,20.92,,,,
"2018/01/20 19:56:35.868",,,,,19.92,,,,,,,
"2018/01/20 20:10:43.375",19.72,,,,,,,,,,,
"2018/01/20 20:22:08.386",,,19.79,,,,,,,,,
"2018/01/21 02:35:55.868",,,,,,,,,,,20.16,
"2018/01/21 02:36:43.367",,,,,,,,,20.24,,,
"2018/01/21 02:38:03.363",,,,,,20.43,,,,,,
"2018/01/21 02:38:05.869",,,,,,,20.29,,,,,
"2018/01/21 02:42:40.873",,,20.31,,,,,,,,,
"2018/01/21 02:42:43.367",,21.92,,,,,,,,,,
"2018/01/21 02:42:53.367",20.24,,,,,,,,,,,
"2018/01/21 02:45:40.877",,,,20.38,20.43,,,,,,,
"2018/01/21 02:46:20.873",,,,,,,,,,20.87,,
"2018/01/21 02:52:13.368",,,,,,,,21.44,,,,
"2018/01/21 03:17:30.875",,22.44,,,,,,,,,,
"2018/01/21 04:01:08.377",,,,,,,,21.95,,,,
"2018/01/21 04:05:43.372",,,,,,,,,20.75,,,
"2018/01/21 04:06:00.868",,,,,,,,,,,20.68,
"2018/01/21 04:06:35.868",,,,,,,20.8,,,,,
"2018/01/21 04:06:45.871",,,,,,20.95,,,,,,
"2018/01/21 04:10:40.878",,,20.83,,,,,,,,,
"2018/01/21 04:11:30.873",20.75,,,,,,,,,,,
"2018/01/21 04:14:28.372",,,,20.9,,,,,,,,
"2018/01/21 04:14:33.373",,,,,20.95,,,,,,,
"2018/01/21 04:16:30.865",,,,,,,,,,21.39,,
"2018/01/21 04:36:05.863",,22.95,,,,,,,,,,
"2018/01/21 05:12:58.379",,23.46,,,,,,,,,,
"2018/01/21 05:50:05.869",,,,,21.46,,,,,,,
"2018/01/21 05:50:33.377",21.27,,,,,,21.31,,,,,
"2018/01/21 05:50:38.456",,,,,,21.46,,,,,,
"2018/01/21 05:50:53.374",,,21.34,,,,,,,,,
"2018/01/21 05:51:28.377",,,,,,,,,,,21.19,
"2018/01/21 05:52:35.874",,,,21.41,,,,,,,,
"2018/01/21 05:52:45.864",,,,,,,,,21.27,,,
"2018/01/21 06:04:10.868",,,,,,,,,,21.9,,
"2018/01/21 06:21:30.865",,,,,,,,22.46,,,,
"2018/01/21 06:58:13.377",,23.98,,,,,,,,,,
"2018/01/21 21:19:00.864",,24.49,,,,,,,,,,
"2018/01/21 21:34:13.365",,25.01,,,,,,,,,,
